,N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B
41,138,8.3,581,7.63,0.86,0.53,7.2,0.76,0.35,1.42,5.07,2.47
42,182,10.7,708,7.48,0.57,1.11,14.2,0.59,0.92,1.15,6.69,0.65
43,138,7.5,612,7.54,0.72,0.54,16.0,0.29,0.95,1.91,4.64,2.53
44,207,8.3,370,7.52,0.44,1.03,17.4,0.31,0.81,1.43,4.98,2.41
45,295,8.6,676,7.41,0.48,0.97,26.0,0.38,0.71,1.97,5.15,2.0
46,289,5.7,338,7.64,0.57,0.72,14.6,0.18,1.06,0.92,2.46,1.85
47,207,7,444,7.55,0.57,0.83,8.6,0.18,0.96,0.93,2.15,2.18
48,138,8.1,718,7.48,0.63,0.94,12.6,0.19,1.02,1.15,2.24,2.47
49,138,8.3,454,7.65,0.58,1.03,14.0,0.25,1.05,1.19,2.16,2.82
50,82,7.9,496,7.37,0.51,1.06,11.0,0.2,1.03,1.04,2.35,1.82
51,107,8.3,612,7.43,0.43,0.75,7.2,0.18,0.95,0.89,2.16,0.74
52,38,7,370,7.57,0.42,1.08,14.0,0.18,0.86,1.04,2.0,2.23
53,88,7.2,655,7.46,0.44,1.0,13.1,0.18,0.78,1.03,2.27,1.94
54,19,5.3,708,7.38,0.29,1.06,12.8,0.17,0.76,0.92,2.88,2.21
55,56,7.7,444,7.32,0.67,0.83,11.2,0.23,0.95,0.88,2.65,1.82
56,50,8.3,475,7.36,0.34,0.83,11.6,0.43,0.59,0.89,2.2,1.32
57,38,7.5,454,7.4,0.48,0.92,8.8,0.3,1.29,1.71,4.99,2.59
58,25,8.1,591,7.33,0.43,0.78,14.0,0.46,0.35,1.74,2.38,2.29
59,82,7.2,507,7.63,0.44,0.61,27.2,0.56,0.35,1.6,2.66,2.82
60,88,7.7,708,7.52,0.37,0.78,21.0,0.19,0.74,1.43,2.42,2.29
61,144,7.2,623,7.57,0.54,0.92,22.8,0.37,0.51,1.69,6.0,2.26
62,213,8.6,718,7.59,0.68,0.86,23.0,0.3,0.46,1.53,9.53,2.82
63,282,5.7,454,7.48,0.46,0.81,16.0,0.32,0.5,1.34,3.7,2.47
64,264,9.4,475,7.52,0.43,0.78,14.8,0.27,0.61,1.41,2.88,2.41
65,301,7,507,7.46,0.42,0.69,23.0,0.23,0.46,1.02,2.71,1.71
66,226,7.5,348,7.62,0.31,0.75,11.3,0.78,0.4,1.04,2.43,1.29
67,307,5,327,7.58,0.56,0.61,11.6,0.46,0.68,1.14,2.79,1.23
68,326,5.9,517,7.41,0.32,0.81,25.7,0.5,0.65,1.16,2.27,1.35
69,251,5,391,7.59,0.62,0.89,11.7,0.56,0.64,1.03,7.75,1.38
70,213,4.8,444,7.55,0.47,0.75,11.8,0.63,0.5,1.02,7.71,1.53
71,195,5.5,507,7.57,0.37,0.69,11.0,0.28,0.48,0.91,1.89,1.65
72,31,5.9,581,7.33,0.71,0.83,11.2,0.37,0.54,1.13,1.99,1.59
73,69,6.8,465,7.51,0.46,0.78,11.7,0.32,0.49,1.06,2.1,1.53
74,182,7.5,391,7.57,0.53,0.78,11.8,0.37,0.53,1.02,7.77,1.32
75,19,6.4,454,7.49,0.6,0.61,10.4,0.48,0.63,0.86,2.0,1.29
76,132,5.5,655,7.31,0.71,0.67,11.0,0.38,1.07,1.71,4.43,2.41
77,163,7.7,517,7.32,0.49,0.75,12.6,0.35,3.42,1.6,10.61,2.0
78,182,8.1,507,7.23,0.73,0.81,10.2,0.37,2.19,1.52,2.75,2.06
79,295,5.5,433,7.34,0.46,0.75,13.6,0.42,0.6,1.22,2.53,2.26
80,201,5.7,253,7.51,0.63,0.83,3.2,0.44,0.77,1.16,3.76,2.12
81,6,5,465,7.47,0.42,0.81,14.5,0.48,0.5,1.21,2.62,2.35
82,56,6.6,401,7.46,0.57,0.89,9.0,0.47,0.64,1.18,3.66,2.18
83,132,8.3,444,7.62,0.43,0.75,13.0,0.45,1.2,1.25,2.76,2.65
84,69,8.1,338,7.5,0.63,0.78,8.4,0.37,2.12,1.03,2.84,2.26
85,270,7,391,7.4,0.61,0.67,27.1,0.42,1.18,1.04,2.76,1.62
86,326,7.5,401,7.3,0.23,0.56,26.0,0.52,2.08,1.68,3.43,2.12
87,351,8.6,454,7.5,0.38,0.72,19.5,0.48,2.06,1.26,2.77,1.85
88,13,8.3,644,7.5,0.71,0.67,13.9,0.45,1.06,1.05,3.63,2.29
89,314,8.1,454,7.4,0.59,0.75,23.9,0.36,0.59,1.25,2.76,2.21
90,282,8.3,465,7.4,0.76,0.61,2.5,0.38,0.74,1.43,2.74,0.94
91,6,7.5,412,7.4,0.41,0.81,6.5,0.46,0.5,1.47,2.97,2.65
92,270,8.6,486,7.4,0.67,0.89,28.6,0.71,0.59,1.24,2.89,2.41
93,220,5.5,539,7.6,0.42,0.83,8.5,0.39,0.52,1.21,2.5,2.21
94,151,4.8,454,7.3,0.77,0.75,8.0,0.36,0.67,1.24,2.76,2.06
95,201,5.3,507,7.6,0.53,0.39,10.86,0.32,9.32,0.69,9.03,0.69
96,151,5.9,581,7.6,0.48,0.88,4.52,0.42,4.05,1.06,5.3,0.29
97,75,7.9,327,7.8,0.66,0.1,7.24,0.5,7.32,0.87,6.32,0.4
98,232,5.9,275,7.7,0.43,0.68,5.43,0.47,6.52,1.52,8.05,0.32
99,207,7.5,549,7.7,0.72,0.49,3.32,0.36,4.56,1.96,13.02,0.67
100,264,6.4,496,7.9,0.38,0.78,3.92,0.52,8.06,1.32,14.52,0.46
101,188,5,454,7.6,0.74,0.2,5.13,0.34,3.59,1.54,17.56,0.55
102,326,6.8,486,7.8,0.82,1.07,4.22,0.58,4.58,0.86,11.52,0.74
103,295,4.8,327,7.6,0.43,0.88,3.32,0.42,7.63,0.51,9.03,0.86
104,126,8.6,454,7.7,0.62,0.39,7.54,0.32,9.32,1.35,4.85,0.27
105,207,6.8,327,7.6,0.71,0.68,7.84,0.57,4.02,1.25,6.32,0.23
106,213,7.2,338,7.7,0.43,0.2,4.22,0.58,9.63,0.86,8.32,0.34
107,69,4.4,507,7.7,0.53,0.1,5.13,0.39,4.02,1.03,13.05,0.25
108,220,5.9,539,7.5,0.42,0.29,5.73,0.33,8.32,1.45,9.63,0.32
109,163,8.1,496,7.5,0.77,1.17,6.33,0.51,6.03,1.32,7.63,0.4
110,138,6.1,348,7.4,0.41,0.88,4.52,0.28,4.85,0.85,13.05,0.29
111,88,7.5,444,7.5,0.76,0.1,7.84,0.52,4.05,1.63,7.63,0.34
112,195,4.8,422,7.4,0.52,0.29,5.73,0.33,8.32,1.45,9.63,0.32
113,251,6.8,391,7.6,0.36,0.88,4.22,0.48,5.02,0.63,6.03,0.25
114,207,7.5,412,7.4,0.61,0.1,5.73,0.52,9.32,1.02,11.63,0.78
115,195,6.6,433,7.5,0.6,0.49,9.65,0.39,7.15,1.58,12.02,2.29
116,220,4.6,401,7.7,0.52,0.78,4.22,0.24,4.02,1.3,7.51,0.29
117,251,7.5,380,7.6,0.76,1.07,10.86,0.28,5.21,0.69,12.21,0.53
118,238,7,570,7.7,0.53,0.88,5.43,0.63,3.26,1.05,5.25,0.61
119,119,8.3,444,7.6,0.76,0.49,7.84,0.41,4.05,2.02,4.85,0.46
120,163,5.9,444,7.5,0.53,0.68,9.65,0.52,2.89,1.58,13.25,0.29
121,207,8.3,612,7.5,0.46,0.2,4.22,0.35,6.32,0.68,8.5,0.55
122,138,5.9,602,7.5,0.42,1.17,5.13,0.6,7.51,0.78,6.32,0.74
123,126,7.2,433,7.5,0.65,0.98,8.75,0.52,3.15,1.05,7.15,0.9
124,157,6.8,475,7.4,0.45,0.88,7.84,0.48,4.32,1.96,9.52,0.31
125,201,6.6,655,7.6,0.64,0.1,6.33,0.41,1.69,1.57,11.05,0.53
126,257,8.6,465,7.4,0.44,0.78,4.52,0.36,6.23,0.68,14.15,0.4
127,201,7.7,327,7.5,0.6,0.59,10.26,0.25,4.05,0.5,12.3,0.32
128,257,6.4,422,7.5,0.59,0.39,5.43,0.28,2.68,1.26,19.21,0.55
129,251,8.1,539,7.6,0.72,0.68,6.64,0.37,3.51,1.03,14.52,0.59
130,201,4.8,496,7.5,0.53,0.49,5.43,0.25,5.69,2.02,7.68,0.65
131,333,7,422,7.5,0.48,0.1,9.65,0.39,3.9,1.89,13.25,0.53
132,320,8.3,359,7.4,0.53,1.17,5.13,0.52,4.12,0.87,6.17,0.4
133,232,5,560,7.4,0.76,0.29,4.25,0.42,2.05,1.05,12.05,0.31
134,326,5.3,549,7.6,0.82,0.59,8.75,0.57,1.98,1.63,6.38,0.73
135,195,5.5,507,7.4,0.61,0.1,10.86,0.35,3.25,0.78,4.51,0.21
136,345,6.8,496,7.7,0.57,0.88,9.65,0.29,6.3,1.51,9.32,0.34
137,257,8.1,634,7.6,0.81,0.39,4.52,0.57,7.21,1.63,11.5,0.53
138,251,4.8,444,7.4,0.54,0.59,7.24,0.48,4.15,0.98,13.52,0.4
139,226,6.1,644,7.4,0.56,0.29,5.43,0.29,3.26,1.05,14.25,0.29
140,264,7.2,496,7.6,0.62,0.1,9.95,0.34,6.53,1.87,6.25,0.42
141,213,6.8,612,7.7,0.6,0.78,5.13,0.51,1.87,1.6,9.32,0.25
142,132,6.4,517,7.5,0.61,0.49,7.54,0.46,5.02,0.69,7.15,0.71
143,195,6.6,750,7.5,0.53,0.68,5.73,0.28,6.33,0.7,11.56,0.78
144,50,8.1,454,7.6,0.74,1.17,10.26,0.33,4.51,1.3,6.25,0.29
145,201,5.3,634,7.5,0.68,0.88,4.52,0.51,6.23,1.89,7.05,0.53
146,100,8.3,676,7.6,0.59,0.1,8.75,0.27,4.05,0.52,15.62,0.4
147,232,7,444,7.6,0.62,1.27,10.56,0.39,7.35,0.66,7.53,0.27
148,69,5.9,612,7.6,0.52,0.68,4.22,0.51,6.49,1.05,9.32,0.31
149,31,4.6,581,7.5,0.63,1.17,8.14,0.6,4.05,1.96,4.15,0.52
150,63,8.3,496,7.4,0.62,0.88,6.94,0.57,6.32,1.32,12.58,0.63
151,132,8.1,433,7.5,0.51,0.78,26.24,0.33,5.21,3.02,4.52,0.55
152,201,8.6,507,7.7,0.72,0.1,4.22,0.49,8.51,0.75,6.32,0.76
153,358,8.3,338,7.4,0.64,0.78,7.54,0.35,2.48,1.53,11.89,0.5
154,63,7,422,7.6,0.57,0.59,4.83,0.26,3.15,1.96,9.06,0.38
155,195,7.5,444,7.5,0.64,0.15,9.9,0.34,3.77,0.97,7.83,0.17
156,207,5.9,507,7.5,0.55,0.44,3.8,0.35,3.24,0.88,7.94,0.19
157,126,8.3,496,7.6,0.61,0.47,9.6,0.4,3.56,0.74,8.65,0.09
158,88,7.2,391,7.6,0.63,0.29,6.5,0.26,3.66,0.54,8.4,0.08
159,163,9,338,7.5,0.47,0.97,7.2,0.26,3.84,0.65,9.27,0.11
160,138,7.7,454,7.6,0.58,0.32,7.5,0.33,3.94,0.6,9.04,0.12
161,188,4.6,549,7.7,0.53,0.27,7.9,0.34,3.49,0.43,8.45,0.12
162,195,8.3,475,7.6,0.42,0.15,11.3,0.29,3.56,0.55,8.66,0.17
163,195,8.1,327,7.61,0.67,0.21,8.6,0.23,3.43,0.7,8.53,0.18
164,264,7.2,444,7.47,0.45,0.35,6.4,0.15,3.95,0.76,8.65,0.11
165,182,7.7,507,7.46,0.53,0.29,4.4,0.25,2.35,0.55,7.54,0.14
166,188,5.3,496,7.52,0.44,0.35,13.1,0.36,3.19,0.69,7.99,0.17
167,132,6.8,570,7.43,0.52,0.38,8.9,0.36,2.96,0.8,8.66,0.18
168,213,5.3,433,7.48,0.77,0.47,6.0,0.37,2.77,0.87,8.94,0.11
169,144,8.3,370,7.46,0.68,0.53,3.7,0.25,2.55,0.99,8.35,0.08
170,182,5.9,549,7.57,0.78,0.35,5.6,0.29,2.96,0.97,8.6,0.14
171,182,4.8,433,7.62,0.44,0.29,6.9,0.37,3.16,0.87,8.76,0.16
172,132,7.2,560,7.54,0.81,0.12,7.2,0.39,3.53,0.95,9.23,0.18
173,138,6.1,454,7.73,0.66,0.97,7.7,0.37,2.95,1.1,7.65,0.11
174,207,5.9,391,7.58,0.78,0.76,8.9,0.29,2.54,1.2,7.9,0.13
175,113,5,370,7.6,0.82,0.71,10.1,0.19,2.75,0.97,7.96,0.18
176,220,7,359,7.67,0.78,0.35,9.6,0.29,2.6,0.85,8.27,0.11
177,126,8.1,338,7.4,0.67,0.29,9.9,0.34,2.66,0.97,8.55,0.12
178,163,6.8,327,7.37,0.51,0.38,8.9,0.35,2.93,0.97,8.34,0.12
179,201,7.7,454,7.31,0.44,0.47,9.0,0.26,3.24,1.05,8.45,0.11
180,100,8.3,570,7.44,0.41,0.35,13.7,0.34,3.09,1.2,9.0,0.12
181,69,7,560,7.36,0.47,0.41,4.4,0.29,3.06,1.07,9.26,0.12
182,289,7.9,465,7.42,0.43,0.35,8.9,0.36,3.24,0.77,9.73,0.14
183,333,7.5,507,7.53,0.54,0.44,9.6,0.23,2.75,0.85,8.45,0.17
184,314,7.2,391,7.61,0.52,0.47,3.7,0.34,2.83,0.9,8.66,0.18
185,301,6.8,496,7.57,0.68,1.0,13.1,0.25,2.65,0.97,8.34,0.11
186,289,8.3,507,7.45,0.49,0.29,4.6,0.4,2.96,0.97,8.25,0.12
187,220,5.9,454,7.43,0.67,0.12,8.9,0.33,3.14,0.85,8.97,0.12
188,232,7.7,549,7.38,0.43,0.44,7.2,0.34,3.25,0.74,8.37,0.17
189,176,7.5,539,7.54,0.65,0.47,6.9,0.35,3.54,0.85,9.05,0.18
190,188,6.4,496,7.59,0.48,0.35,7.2,0.34,2.76,1.0,9.76,0.11
191,88,6.8,539,7.43,0.52,0.53,4.4,0.25,2.84,0.83,9.84,0.12
192,82,7.5,507,7.61,0.47,0.5,11.3,0.37,2.96,0.94,8.94,0.17
193,169,5.9,338,7.57,0.41,0.65,8.6,0.27,3.15,0.99,9.09,0.19
194,245,6.1,496,7.42,0.58,0.24,2.5,0.24,2.84,0.94,7.73,0.07
195,270,7.9,253,7.48,0.57,0.59,3.1,0.24,2.49,0.52,7.74,0.14
196,345,8.1,338,7.31,0.41,0.85,6.0,0.34,2.42,0.65,8.64,0.15
197,333,7.7,275,7.54,0.55,0.47,7.5,0.36,2.53,0.46,8.66,0.18
198,282,6.8,306,7.29,0.62,0.44,6.4,0.27,2.65,0.57,8.45,0.1
199,282,8.3,486,7.47,0.51,0.71,3.2,0.26,2.66,0.64,8.57,0.14
200,270,8.1,296,7.41,0.63,0.76,4.2,0.34,2.48,0.63,8.67,0.15
201,289,6.1,359,7.39,0.58,0.44,6.0,0.33,2.36,0.66,7.73,0.09
202,201,7.5,391,7.41,0.54,0.53,7.2,0.23,2.38,0.77,7.84,0.22
203,213,8.3,444,7.35,0.67,0.88,6.3,0.26,2.28,0.48,8.44,0.24
204,270,6.4,539,7.57,0.61,0.26,4.8,0.27,2.47,0.52,6.95,0.21
205,207,5.9,348,7.54,0.59,0.29,3.0,0.37,3.44,0.64,7.46,0.18
206,295,8.3,602,7.68,0.51,0.62,3.1,0.34,2.54,0.43,7.32,0.1
207,251,5.3,338,7.73,0.57,0.82,3.2,0.23,2.68,0.44,7.24,0.09
208,276,6.8,507,7.51,0.41,0.5,4.0,0.24,2.67,0.57,6.44,0.18
209,163,7.5,359,7.62,0.67,0.47,4.5,0.24,2.75,0.64,6.56,0.21
210,213,7,327,7.71,0.67,0.74,5.1,0.25,3.46,0.76,8.47,0.1
211,207,6.1,454,7.4,0.43,0.12,2.5,0.35,3.93,0.88,8.68,0.06
212,200,6.8,391,7.67,0.72,0.35,3.0,0.37,2.93,0.96,8.65,0.07
213,301,7.2,412,7.71,0.64,0.32,4.0,0.29,2.63,0.83,7.76,0.09
214,188,6.4,422,7.78,0.56,0.53,4.2,0.23,2.72,0.43,7.74,0.08
215,201,7.5,465,7.71,0.48,0.5,5.1,0.22,2.87,0.72,7.72,0.18
216,207,5.9,243,7.62,0.45,0.76,7.2,0.24,2.47,0.73,7.63,0.21
217,307,6.6,401,7.53,0.71,0.82,3.0,0.34,2.93,0.67,7.84,0.24
218,207,7.7,380,7.64,0.67,0.26,4.2,0.26,3.93,0.68,8.85,0.27
219,326,8.3,285,7.38,0.82,0.88,4.3,0.27,3.63,0.63,8.96,0.18
220,270,6.8,296,7.59,0.33,0.56,5.1,0.26,3.74,0.74,8.73,0.15
221,195,4.8,496,7.43,0.67,0.85,3.5,0.27,2.45,0.74,6.73,0.18
222,182,8.3,338,7.61,0.58,0.88,4.2,0.26,2.56,0.71,7.83,0.16
223,295,4.8,348,7.77,0.61,0.24,2.5,0.25,2.84,0.12,7.73,0.07
224,151,7.5,327,7.63,0.73,0.29,4.8,0.33,2.49,0.63,7.23,0.18
225,333,5.9,391,7.44,0.66,0.26,5.0,0.26,3.51,0.25,7.35,0.15
226,157,6.4,327,7.45,0.34,0.5,5.1,0.35,2.56,0.14,8.75,0.14
227,370,5,496,7.62,0.41,0.76,6.2,0.34,2.44,0.25,8.36,0.09
228,163,5.9,317,7.43,0.38,0.59,3.5,0.34,3.43,0.16,8.32,0.1
229,377,6.8,327,7.51,0.85,0.26,4.0,0.25,3.63,1.08,7.84,0.13
230,264,7.9,391,7.34,0.61,0.24,3.0,0.25,2.44,0.22,7.44,0.21
231,358,7.2,359,7.49,0.67,0.5,2.5,0.26,2.64,0.29,7.55,0.19
232,320,4.6,422,7.38,0.53,0.76,6.0,0.24,2.74,0.18,7.66,0.07
233,126,7.5,444,7.67,0.7,0.74,7.1,0.35,2.43,1.96,7.77,0.1
234,333,6.8,327,7.53,0.62,0.38,3.5,0.26,3.44,0.45,7.84,0.12
235,213,8.6,348,7.62,0.64,0.15,4.0,0.27,3.45,0.86,8.43,0.13
236,245,5.9,285,7.61,0.71,0.24,4.8,0.34,2.56,0.1,7.54,0.15
237,157,5,401,7.58,0.45,0.21,3.5,0.32,2.67,0.64,7.45,0.19
238,213,5.7,507,7.66,0.63,0.47,4.8,0.33,2.74,0.73,7.68,0.18
239,82,7.5,391,7.65,0.78,0.76,6.0,0.27,4.44,0.83,7.73,0.21
240,195,5.9,422,7.66,0.53,0.74,7.1,0.27,3.44,0.43,8.74,0.25
241,100,6.8,560,7.71,0.67,1.03,6.2,0.38,2.45,1.54,8.25,0.07
242,238,5.7,454,7.61,0.62,1.09,3.5,0.34,2.56,1.1,7.36,0.14
243,213,59.2,539,7.54,0.44,0.82,4.0,0.33,2.67,0.64,7.58,0.1
244,6,7.2,285,7.42,0.53,0.82,2.8,0.34,2.68,0.73,7.34,0.12
245,257,6.4,243,7.43,0.58,0.26,3.9,0.34,3.74,0.84,8.94,0.13
246,188,5.7,317,7.52,0.62,0.29,4.2,0.25,3.43,0.09,8.84,0.08
247,144,8.3,296,7.47,0.58,0.53,3.5,0.24,3.43,0.93,7.45,0.09
248,238,6.8,327,7.54,0.43,0.79,4.8,0.35,2.44,0.93,7.36,0.09
249,157,5,444,7.33,0.59,0.76,6.2,0.34,2.45,0.83,7.98,0.18
250,195,6.8,391,7.48,0.37,0.15,3.5,0.23,2.56,0.62,7.35,0.1
251,63,5.9,454,7.53,0.65,0.12,6.0,0.23,3.43,0.43,8.24,0.18
252,238,7.2,444,7.51,0.58,0.1,5.43,0.38,7.05,1.56,8.63,0.73
253,163,7.5,560,7.43,0.59,0.49,7.54,0.51,4.63,0.85,12.84,0.48
254,232,6.1,391,7.47,0.63,0.2,10.26,0.6,8.02,1.53,9.63,0.32
255,132,6.8,327,7.71,0.61,0.59,5.13,0.79,6.32,1.87,7.51,0.55
256,207,7.5,444,7.64,0.44,0.39,8.75,0.53,5.5,1.25,13.25,0.42
257,195,8.1,327,7.62,0.62,0.29,6.33,0.48,9.06,0.63,18.54,0.25
258,138,6.6,317,7.53,0.53,1.07,11.16,0.35,7.51,0.8,11.69,0.34
259,251,7.5,359,7.41,0.51,0.68,4.52,0.29,4.56,1.35,12.58,0.69
260,207,6.8,433,7.57,0.62,0.39,8.14,0.62,8.04,1.74,9.63,0.8
261,307,7.2,338,7.41,0.42,0.78,11.76,0.47,5.26,0.65,11.53,0.57
262,264,5.3,422,7.67,0.63,0.49,6.64,0.51,9.26,0.84,8.56,0.48
263,201,7.5,348,7.63,0.43,0.1,5.43,0.38,7.51,1.32,17.59,0.34
264,257,8.1,444,7.62,0.51,0.59,3.62,0.57,8.02,1.85,9.53,0.42
265,144,5,327,7.71,0.71,0.39,7.84,0.36,5.03,0.69,11.06,0.31
266,251,5.7,275,7.53,0.54,0.88,9.35,0.47,9.22,1.02,5.09,0.44
267,182,7.5,338,7.51,0.61,0.29,2.8,0.24,2.84,0.94,7.73,0.14
268,289,14.5,549,7.18,0.64,0.26,3.1,0.23,2.44,0.42,6.74,0.24
269,75,8.1,327,7.61,0.51,0.53,4.2,0.25,3.33,0.56,6.75,0.18
270,220,9,401,7.67,0.62,0.79,3.5,0.23,2.87,0.47,7.76,0.21
271,282,7,401,7.71,0.48,0.18,2.5,0.24,2.48,0.67,7.64,0.1
272,195,6.6,391,7.65,0.54,0.24,3.5,0.34,2.43,0.74,4.64,0.12
273,176,8.6,507,7.67,0.58,0.79,4.8,0.27,3.56,0.64,5.73,0.09
274,182,7.7,444,7.72,0.56,0.82,4.1,0.27,2.68,0.55,6.77,0.06
275,226,8.3,465,7.68,0.62,0.5,6.0,0.27,2.48,0.44,6.77,0.19
276,257,7.9,380,7.7,0.64,0.47,7.2,0.34,3.44,0.67,6.84,0.09
277,276,9.2,338,7.71,0.48,0.76,3.5,0.24,2.54,0.64,7.77,0.12
278,270,9,475,7.65,0.44,0.71,4.8,0.24,3.63,0.74,7.75,0.15
279,295,78.9,454,7.76,0.39,0.41,5.2,0.25,2.74,0.44,8.73,0.21
280,232,7,465,7.62,0.54,0.44,6.2,0.36,2.82,0.64,8.52,0.1
281,245,9.6,528,7.77,0.52,0.74,3.5,0.27,2.43,0.63,7.46,0.08
282,251,9,444,7.65,0.6,0.71,4.2,0.28,3.74,0.73,8.63,0.07
283,213,8.6,433,7.63,0.65,0.24,5.3,0.39,3.74,0.65,7.72,0.18
284,339,7.5,665,7.6,0.55,0.68,4.2,0.28,3.85,0.43,6.73,0.21
285,351,14.9,327,7.4,0.44,0.82,3.8,0.29,2.46,0.63,7.72,0.1
286,264,5,486,7.5,0.46,0.5,4.2,0.27,2.47,0.66,8.75,0.12
287,358,12.3,612,7.3,0.53,0.5,3.5,0.24,2.58,0.74,8.72,0.12
288,370,11.2,655,7.1,0.67,0.24,4.0,0.23,2.63,0.73,8.43,0.15
289,333,7,581,7.8,0.68,0.53,4.1,0.23,3.73,0.75,7.53,0.18
290,282,9.9,391,7.2,0.52,0.15,4.3,0.24,3.77,0.65,7.64,0.1
291,257,7.5,887,7.5,0.29,0.79,4.5,0.26,2.84,0.67,6.76,0.12
292,301,12.9,634,7.6,0.6,0.82,6.0,0.24,2.43,0.78,7.68,0.12
293,333,6.6,729,7.2,0.31,0.38,7.1,0.24,2.94,0.83,7.63,0.15
294,195,11.2,348,7.1,0.52,0.44,3.5,0.34,2.94,0.94,8.44,0.15
295,314,11.4,475,7.4,0.31,0.41,4.5,0.26,2.85,0.45,6.58,0.1
296,351,6.8,813,7.5,0.43,0.24,3.5,0.28,2.48,0.12,7.72,0.07
297,339,8.1,549,7.3,0.36,0.26,4.1,0.27,2.58,0.63,7.44,0.09
298,264,14.3,486,7.4,0.65,0.59,5.2,0.27,2.47,0.45,7.54,0.08
299,169,5.3,327,7.6,0.34,0.78,4.52,0.26,5.26,1.02,6.32,0.48
300,333,7.9,465,7.5,0.68,0.88,7.84,0.38,2.51,0.86,15.02,0.59
301,370,9.4,729,7.3,0.59,0.1,5.13,0.51,8.05,0.53,11.25,0.29
302,326,6.8,433,7.1,0.57,0.78,6.64,0.24,4.21,1.25,4.51,0.42
303,251,10.7,528,7.4,0.42,0.59,4.22,0.22,9.02,1.03,9.32,0.32
