pH,EC,N,Zn,K,S,Fe,P,OC,Cu,Mn,B
7.4,0.46,303,0.18,116,19.59,6.9,61.04,1.6547330723481803,2.7838184815182427,12.138718565057458,1.708904709502639
8.04,0.38,202,0.26,593,28.22,6.04,29.75,22.778364340354663,1.5461030049140827,16.84499618622503,2.4912706431035168
8.02,2.36,226,0.39,274,14.83,7.82,18.98,23.17860559048197,2.997022983432306,30.013552934247944,0.19691230704457238
7.2,0.32,290,0.3,169,31.63,9.24,13.85,19.42069661998342,2.5846751261931304,2.166184445270344,0.7694930304422161
8.06,2.79,215,0.36,780,14.8,8.51,18.98,7.380269083243559,0.7009358070669939,20.13654325019523,1.3435002824497113
7.48,0.78,381,0.76,499,15.18,6.76,45.14,2.4343635247525746,2.816643978906675,2.399116503337644,0.686460768941398
7.31,0.53,227,0.38,242,12.99,7.38,15.39,16.45316933364055,0.430953545804445,11.708235200330197,2.113178316953939
7.97,0.4,397,0.54,306,27.73,7.9,25.65,10.61964460037647,2.4851276458791913,24.93983130102557,2.5970141657082815
7.38,4.8,260,0.36,442,31.35,3.92,75.92,3.016713812790214,1.2052262498863797,13.499957269821547,1.2296055310093486
7.3,0.54,183,0.24,341,12.99,6.38,30.78,11.934728151659357,2.6624647589040538,30.912962912062138,1.0042859763088299
7.83,0.58,230,0.62,644,11.52,11.24,13.85,0.9218856546537196,2.6334061020148294,17.37934131200054,2.713880020699683
7.52,2.69,143,0.56,448,20.06,5.32,61.04,21.83275760968289,2.45136142234463,10.030698894924603,1.2877927146040127
7.62,0.99,185,0.46,384,29.4,10.49,37.95,6.2848415602404035,2.4047891783796898,6.909238857197825,1.4097735852400217
7.56,0.36,241,0.6,788,17.79,5.83,24.11,15.934282596060168,0.9827098775572595,10.937579304099538,1.0305536476636588
7.05,2.5,295,0.94,862,22.97,7.49,14.36,7.549894718536921,0.3270934993401689,11.617552826432524,2.5703537855135017
7.8,0.51,336,0.68,437,31.09,5.36,26.16,12.529625706149677,1.2707319237819232,2.2325655048931545,1.630317133857908
7.04,1.21,252,0.6,712,27.9,6.3,28.21,13.166375676304382,0.5984268289104704,11.526147020293022,2.163601860621339
7.85,0.22,285,0.36,422,34.98,4.16,93.36,4.518021487060095,2.1262066904842127,14.450327874744657,2.300586542648446
8.05,0.24,314,1.12,446,17.59,4.88,14.36,23.27307260357295,1.1040721987557118,22.435369166656674,1.0035033556916324
8.56,0.43,108,0.72,239,10.05,7.64,65.15,18.625674478330637,2.948537888519551,20.39637378305047,1.2569963544442488
7.52,3.98,401,0.72,582,17.52,4.19,58.99,22.55402470338412,1.968048186621823,22.003771090028575,2.4017820973612904
8.38,1.25,180,0.88,655,32.37,8.88,52.32,21.486373675220808,2.4998680514486775,0.36835413317611576,1.0625847706252363
8.14,0.56,278,0.46,531,29.42,4.92,17.95,14.389809493584934,0.47829729113361585,6.833745973042759,2.2512609683271094
7.34,0.55,304,1.6,638,28.16,4.49,61.56,22.132794217052492,2.615702433058784,20.549427668671566,2.657138810305446
8.01,0.41,111,0.48,275,13.05,7.71,11.29,2.214970799040876,2.7936785682042453,15.060431583072388,1.780060629667699
8.28,0.54,152,1.04,244,18.15,6.98,67.71,4.78399041181757,1.5170914221394824,0.2741332633952063,2.106891313367213
7.78,2.03,106,0.68,532,36.68,5.64,73.1,1.1809322049618598,1.866321107610364,24.96083950471899,2.282068581233532
7.94,0.63,133,1.08,384,12.28,3.56,59.5,7.875394905242017,2.3308927166457765,23.982087718938523,2.3923094309547333
7.4,0.47,260,0.94,461,14.01,5.84,38.98,9.38938722357862,0.6022771778730087,17.05066794487115,1.150347212484757
7.35,1.28,389,0.62,453,16.76,3.24,15.9,6.5852418593961115,1.5625186040378864,2.1630521332290455,0.20148714732575493
7.71,0.43,298,0.66,678,18.15,5.26,58.48,19.90682646873111,1.2580826713728774,23.78764988006154,1.169178508613401
7.68,0.47,310,0.6,374,31.32,7.56,26.16,8.626404507976783,0.5188757970353899,18.14091272502183,1.9195671942040877
8.35,0.41,266,1.15,773,28.35,12.49,58.99,6.8143347815284,1.1668758573141873,24.264743694409358,1.302967064754988
7.35,0.5,292,0.46,185,15.72,4.98,17.44,13.070436387482138,0.28974486649949616,23.331464595107512,2.1271382963747
7.47,1.38,213,0.46,188,21.42,7.9,56.43,3.4680889768968273,0.16562888736199688,24.91473400277759,1.0452715053335122
7.16,1.36,362,0.86,644,31.5,4.25,20.52,19.272507840021547,0.48603722722363074,16.11126917123886,1.8118938294471214
7.08,0.34,201,0.52,448,20.36,5.47,22.57,1.8817603839465227,2.911927276956279,4.444624366997679,0.5745186613969697
8.39,0.66,60,0.72,392,21.8,5.82,60.53,23.68659778475236,1.7001215401724,20.842054352698582,2.128259645140081
7.81,0.81,110,1.16,384,36.94,8.82,78.74,18.556649986190113,2.9198589321789346,19.276435220255372,1.5661208739239512
7.73,2.19,116,0.72,393,31.8,5.09,48.73,4.8493047886667195,1.3572187835072869,23.038200952579803,0.6232177123886176
7.35,0.27,284,0.86,407,12.66,5.38,21.03,0.23197859925409733,1.0036212699398106,5.357624276907214,0.8656748388539479
7.93,0.64,146,0.76,353,17.49,6.98,45.14,19.589528140070538,1.5729956581219153,6.132783924919934,2.1261600356858574
7.16,0.71,223,0.88,378,21.24,7.7,34.88,16.99389051795805,1.3777692476944268,27.614749986905057,1.391979410425797
8.01,0.87,116,0.68,451,32.7,6.83,64.12,17.523271316179596,0.3995975248869097,23.276814194184468,0.6562467754848793
7.22,0.42,268,0.24,515,17.28,5.6,24.62,18.533361285794104,1.9676211020423044,28.165178015952975,2.7296684854220215
7.56,0.43,245,0.5,493,16.07,6.86,17.95,1.8696671764447597,0.7229918747531269,23.54671627075351,2.0337450546946103
8.15,1.39,256,0.63,309,24.9,3.76,14.36,8.667330912208115,1.905392707850641,18.556127402040424,2.7016921378098373
7.65,1.96,209,0.76,550,27.14,5.46,20.52,2.8692705226506,1.9950892007265897,20.316160246791018,1.2388099251945472
7.73,0.46,168,0.15,227,28.22,8.2,40.01,20.728171878426686,0.535432819666939,27.575161570506907,1.3712769403091485
8.3,0.67,249,0.78,586,10.21,5.3,29.75,14.996825231178633,0.2697544074342577,17.989340646873842,2.5383563966706526
7.74,0.59,262,0.78,810,11.53,6.16,45.14,8.008462793978316,2.3776314471805287,19.644568008503885,1.5091361790772615
7.95,1.08,218,0.88,709,31.05,7.09,55.4,1.619044571835965,1.4372152416441082,4.943565757351222,2.012089796859641
7.85,1.05,161,1.04,458,41.83,8.44,38.47,7.532477489004326,0.26041992083104404,14.749426489386412,0.7559971418876628
8.0,0.56,99,0.76,262,15.49,8.43,24.11,7.871881396439254,3.0049583093074177,22.239506788385675,1.2929650536192878
7.47,0.49,296,0.78,318,14.34,7.74,53.86,17.53758766227973,0.25929704371935425,8.479419950992527,0.4007216296365801
7.24,1.35,292,0.24,527,25.03,5.98,16.41,15.337623565389592,2.1264532205555606,6.357631636402884,0.6285048990204143
7.46,0.56,207,0.26,604,24.21,5.94,77.3,21.304384547574205,2.9721792510218017,9.804110106052196,0.06260382613866179
7.75,0.66,298,0.46,273,28.88,5.36,13.85,11.385936711370586,0.790797705352662,7.569954398698625,0.16837154255030223
7.21,1.82,329,1.39,848,16.43,5.44,56.94,2.9583024779254106,0.5067906502534848,6.748651358054269,2.7573033519683245
7.81,0.71,105,1.2,624,37.6,6.95,71.56,17.14655041462958,0.4456578725077167,13.233642536195205,0.7288961985774638
7.52,0.96,248,0.3,339,31.01,4.72,52.83,18.28276266194385,0.978596182373055,28.153131693862367,1.8907375582310453
7.55,0.51,215,0.24,507,11.67,6.68,19.49,13.51452502191096,0.38606422626119485,15.773072487759007,2.3759151686869275
7.51,1.29,213,0.69,655,27.65,6.06,22.06,18.526115600914007,2.1180327311638063,5.914860563385329,1.5798228674929173
7.98,0.2,158,0.36,573,21.71,12.55,10.77,11.901714753108937,0.2725149685210837,2.4876548671752,0.48267882023171904
7.66,0.53,497,0.62,493,23.79,7.7,13.85,12.593314622229657,1.582606835478884,21.61426332331051,2.0696013670478193
8.47,0.34,250,0.68,219,30.36,8.0,53.35,10.318230338769336,3.010321781789222,11.93465383344002,1.716693891874849
7.08,0.76,220,0.24,242,25.03,3.42,33.34,0.707517129183875,2.474932889652635,25.49635794002175,2.078251626598755
7.61,0.39,292,0.64,378,10.73,6.8,57.96,2.6786051051399764,1.892592954016862,20.48228764331339,2.1845006790855606
7.61,1.22,334,0.32,255,11.55,4.34,29.75,0.8511575379129486,0.9873231089047723,24.705898407222872,2.7521326148098963
7.77,0.71,271,0.36,297,14.19,4.06,59.5,15.31020882920435,1.918014800334501,8.510413157635881,1.6430346528737194
7.42,0.84,116,0.84,656,13.76,3.7,51.3,7.613107947724207,1.6342314892611394,21.496967114822084,1.002929471026061
7.92,0.29,167,0.38,556,28.74,11.45,17.95,12.254839518836395,1.3384243147987887,8.266874707188972,1.8497621770446542
7.89,0.95,395,0.62,599,14.75,4.92,13.34,21.790838726833623,0.4729814038487845,29.117825330219507,0.24889635750964811
7.73,0.59,179,0.35,263,29.95,9.15,54.37,6.058084276658111,2.6877503506545675,19.767601556565936,2.536816598567578
7.7,0.48,234,0.94,386,13.35,3.34,17.95,9.90815186055155,1.407869021046475,10.134169507416317,0.3894915912934231
7.72,0.57,273,0.28,497,18.6,7.32,34.88,18.157672211178863,0.6602439596348416,8.435221426208301,0.9648462325648584
8.01,1.21,240,0.3,443,22.44,3.82,68.22,5.568276155249777,1.1675348980704587,6.007722212863069,2.3114572505280937
7.2,0.41,267,0.84,403,28.02,6.2,24.62,1.9398198449081525,1.3034001749097563,21.567459220227253,1.7085821641927645
7.26,1.2,314,0.54,454,12.59,9.06,20.01,7.025059724639055,2.514686034010942,6.866125285505975,1.1464340359657401
7.4,0.56,448,0.38,562,31.96,8.54,10.77,3.9531887653707054,2.239490135044908,18.498917884500138,1.3666824198750591
7.61,0.57,218,0.56,624,25.33,14.51,52.32,22.319773890987495,2.3440633383691254,8.284575981724288,2.4185508052380174
7.69,0.5,182,1.2,200,16.38,7.36,24.62,19.414077071589567,0.12232160477593634,20.5582207046826,0.9984121055253021
7.71,0.5,267,1.14,540,29.29,5.6,10.26,15.238349780599119,1.3093312146667013,25.283488214617257,2.4602331300815927
7.53,0.57,368,1.88,625,12.03,11.68,49.24,20.927908105486452,1.5003383642914985,24.143199760738337,0.3032510294956685
8.12,0.35,106,0.64,336,14.69,7.25,16.93,19.307762637888835,0.1462333710915561,23.612697612451846,2.2039636866958205
7.9,1.36,154,0.72,211,36.78,5.43,84.13,4.559024407376256,0.8512527016229503,5.9087451118336665,2.3992314672310724
7.42,0.25,301,0.58,562,33.23,3.44,50.78,21.43216006391047,2.3176491817478557,2.8402110123517827,0.5618167218310548
7.54,0.4,257,0.5,401,34.95,7.32,20.01,12.990279581784051,0.4917314377859673,21.70052931197534,1.2477564293472732
7.35,0.98,379,0.68,537,26.22,7.02,37.45,19.397819708421096,1.6584586851560936,11.488245434107512,0.5167793780716894
7.33,0.34,183,0.64,427,32.67,4.8,55.91,21.516582068171488,0.7205414850105059,13.465174933599398,2.0102273960240407
7.43,0.37,339,0.62,495,32.44,3.96,58.48,7.700283051827546,0.12551386970660727,1.07219547638785,1.5375598398501726
7.58,0.82,252,0.62,531,12.23,6.3,58.99,2.7302409962114744,0.7967202707666565,8.128316518106269,1.8134924369149659
7.71,0.57,282,0.7,617,12.94,6.56,22.57,5.547650384752406,2.9493101018864576,1.1502641156821938,0.6023040287991428
7.49,0.65,130,0.72,487,30.66,8.72,46.17,10.307876148167525,2.4385037378171597,27.268048515652538,0.6444185792646779
8.23,0.59,201,0.72,569,11.83,9.68,24.11,19.650552905547585,2.901559567860628,7.628523544620407,0.17453261840734158
7.45,1.72,317,0.66,484,14.03,5.16,58.99,20.67146093982661,1.5194123487042421,17.32614516811022,0.9489063971402141
7.15,1.63,281,0.52,577,33.54,4.5,79.0,0.2661559196954578,0.4115270621250853,1.3140712152223186,1.6048952652809427
7.94,0.74,364,0.74,774,13.98,6.76,88.74,12.306860531603819,1.6955213026929206,20.708915917431778,2.427900362632627
8.03,0.43,411,0.76,462,21.83,7.56,41.55,10.076122975255817,1.4213255902606856,10.088314710343958,1.9007197549859587
7.57,0.64,293,0.8,700,12.13,7.32,35.39,5.408376670250452,2.5639662524270745,27.846723685122296,1.261693852583314
7.2,7.23,317,1.24,335,39.02,4.88,41.04,2.964782279275019,0.37738196169783667,27.543970856172365,2.69061151572782
7.9,0.99,224,0.62,559,27.32,9.38,16.41,8.169002596546708,1.5205465314738102,10.158227201194387,2.0451167535892956
7.92,0.54,100,0.6,510,10.03,6.56,56.43,22.63554192350921,0.5296425875533739,27.94068206787855,2.627255959900638
7.42,0.68,204,0.22,530,10.84,6.86,20.52,7.824550075296049,1.0413004657878757,30.881310534377278,1.5161428062311773
7.26,0.72,234,0.42,771,11.83,5.94,77.97,12.499095859666449,2.250456236746253,25.607089864788755,0.7745757984290653
7.17,0.96,238,0.4,801,12.49,6.38,24.11,16.90215311759475,1.484733119050486,26.208075932159023,0.20580165436663267
7.61,0.49,318,0.58,495,10.56,6.78,70.79,8.790747496865125,1.1913526754771042,7.801879858409788,2.063994190095427
7.07,0.76,220,0.32,673,12.16,6.54,65.15,23.32559177703096,1.2458154962102037,17.92433710071609,0.39479627449527416
7.7,1.79,138,1.64,297,39.19,6.67,12.82,23.102490349116458,1.436179031429541,2.187535182451993,0.8956593540306292
7.25,0.35,221,0.78,634,33.54,6.22,82.07,6.117596870226203,2.3900984734425768,3.042015068421377,1.5296197057595566
8.07,0.94,248,0.6,534,14.6,6.42,19.49,11.984239290828011,2.7038081385948867,30.965792785708345,1.6177897822721035
7.17,0.45,256,0.46,560,38.08,6.28,65.15,7.290991604620794,2.88913063145651,10.199886414766388,1.7176096236844953
7.78,0.71,196,0.2,722,11.5,7.36,23.08,6.907687815621475,2.395626921728015,23.221401043188866,0.5188647117651737
7.75,0.88,108,0.56,431,25.36,7.9,50.78,0.9815980417733338,1.0141422045416775,25.02788348799836,1.1080752373077505
7.74,0.63,229,0.74,520,11.34,6.6,46.17,14.668587582119534,2.1062346888335686,26.61433884141331,1.763456066842828
7.4,0.56,436,0.64,594,28.07,11.82,31.8,12.114028655169788,1.3721771534822984,30.926738106752616,2.7367000663892456
7.6,0.29,290,0.48,441,20.43,8.32,17.44,1.3303421548747456,0.8361849225949299,7.569826429584648,2.0682619400511406
7.93,0.36,240,0.74,384,31.02,4.16,60.53,6.759650495255013,2.5537537277179534,1.356437041696124,2.6063863695793232
7.72,0.53,199,0.44,503,11.24,5.88,13.85,21.807554674603022,0.20258920245961226,12.81170599085276,2.1637052809471284
7.84,0.54,326,1.0,689,11.06,2.72,74.89,5.82552918694064,2.732162636956791,4.128191891016171,1.6931388341430251
7.7,2.58,86,0.64,473,32.79,6.22,63.61,3.5629874429802317,1.4421289713504712,0.8027357162158828,0.589984498816311
7.77,0.71,257,0.84,451,31.19,4.24,82.59,11.797920970633754,1.9570003270482619,11.243584690400505,1.900052399223336
7.45,0.21,298,0.24,140,22.11,5.2,21.03,23.657045853243357,2.0219069920629433,24.319674575714053,1.7805276020493435
7.95,1.08,293,0.28,332,23.78,4.76,29.24,5.885120989124859,2.7126949802701517,17.599321551942438,1.7228149104620554
7.71,0.58,447,0.64,540,25.31,7.6,36.42,16.1640395830005,1.9554421687499177,9.771712086707836,1.4118089956475444
7.77,0.6,146,0.76,374,36.33,7.84,50.27,18.30270880635635,1.8888254033469811,20.32262454967011,1.5190922270104006
7.9,0.5,334,1.08,802,32.84,6.84,91.31,5.779537301418351,0.2852904788428216,7.277041589739164,0.9830613748459671
7.67,0.43,240,0.6,521,33.1,5.52,24.11,17.504370731823442,1.6089355042994482,0.5542428691667064,1.4933030316927567
8.03,0.41,226,0.6,191,19.11,5.12,36.93,8.89001687199015,0.529995172393932,23.72087610702124,0.6052542996726
7.89,3.41,251,0.5,477,25.53,9.58,46.78,15.212109351186548,2.2506809423539527,19.37742389144924,2.28228133671464
7.19,0.42,315,0.78,512,29.37,5.86,81.56,15.241360087185383,1.5908102279811365,23.657528070834655,0.5727443949684334
7.65,0.48,269,0.78,391,20.36,9.54,47.19,12.905014949386727,2.083067393080475,1.3127953354819908,0.2945069600949273
7.68,0.62,243,0.58,422,35.99,5.88,58.48,2.2579255043003585,0.2121015987649859,25.968625303688846,1.2640390327457542
7.5,0.35,314,1.26,624,18.07,8.64,17.95,20.06372964458279,0.3384406070142034,19.24716431912141,1.8769285330367307
7.35,0.86,249,0.24,374,20.13,8.72,22.06,7.766643552824486,2.188827527023659,17.513282383513452,1.2680984368165742
8.52,0.7,100,0.68,446,23.43,7.22,65.66,4.557792398556516,0.301207104476113,19.40432794625788,0.8238414041856117
7.3,0.92,417,1.02,734,31.52,10.2,27.19,1.0745258831588576,0.2987822123522077,26.812342995763768,1.6005524675376164
7.44,0.59,298,0.76,841,30.9,11.1,24.62,14.222341342198979,0.12547783243822022,18.24046868760464,1.0177264457376718
7.29,0.97,252,0.54,550,28.51,13.1,21.03,16.293788248030552,2.8925490970174765,18.05555723474586,2.634714824749507
7.91,0.94,240,1.44,523,26.81,11.38,65.66,0.496449111375762,2.2508994932148902,30.712079161761505,2.606500585305859
7.41,1.21,238,1.31,603,33.79,4.02,56.43,12.339024093352814,1.125026626911048,23.485394860748066,1.4465462231229833
6.84,0.37,285,1.14,469,24.75,8.5,79.0,5.513249027230716,0.9588492531728299,13.772455650385568,0.9649598234903933
7.51,0.95,265,0.56,378,14.73,11.88,20.01,15.51962969078585,1.1146304631553394,21.961493331017138,2.094485462520324
7.89,1.71,271,0.48,398,27.9,5.76,23.6,4.267357653219295,2.3597348463608627,12.133329270559345,0.16132772401326392
7.53,1.46,187,0.54,380,14.93,7.48,48.22,16.613411940648938,2.0278158904363144,7.179963036115284,1.3703624566804773
7.22,0.59,188,0.84,418,27.89,6.04,16.93,9.342974776582842,0.6326230138516811,18.546754477062887,0.9882525681861205
7.35,0.36,207,0.24,602,12.38,8.36,18.47,22.487846730807956,0.6001403525288671,28.78154501073996,2.600679042883051
7.55,1.53,154,0.84,583,31.36,10.04,64.12,3.3867505650892387,0.3782992536602542,28.811119773277643,0.09312835527260381
7.3,1.12,213,0.5,402,33.0,10.28,24.62,8.251485790101178,2.0246869687249207,10.671454040678595,1.5857690569826435
7.46,3.56,260,0.34,458,30.0,6.16,17.95,2.8120171576500788,2.3296119003096862,16.40995693158816,2.1042314837438876
7.09,1.87,160,0.16,301,24.26,7.52,19.49,22.20017747685765,0.8665860349922618,6.647432906823013,1.3986496455663537
7.57,0.82,312,0.78,767,34.98,3.66,51.81,21.068410545805445,0.15136873582057453,30.86504497242051,0.29571236324911176
8.01,1.24,489,0.32,803,21.45,7.56,14.36,6.2648049023922185,0.3307629857059321,30.416732174040536,2.7439934364770098
7.75,1.43,240,1.0,461,20.79,10.92,24.62,15.873618700216877,2.925829902095939,20.17333083866305,1.4897087905980302
7.94,0.44,158,0.52,415,11.27,8.09,79.26,19.63161058480906,0.9556531980088414,24.958350303437154,1.7551540343204712
7.81,0.48,193,1.46,433,30.0,8.2,11.29,13.369299397227149,2.3438238231657316,22.199443982053495,0.7130430002727202
7.95,0.98,240,1.08,766,30.53,11.92,20.52,12.758648822708555,1.920264256742993,18.432657386129172,1.3944547148947786
7.66,0.35,289,0.4,309,33.94,4.67,10.77,5.880269752520794,1.2090831441829852,1.7579196269870498,1.2444525978049683
7.84,0.53,110,0.6,245,22.11,6.98,44.63,2.325156150560991,0.6926636782329765,14.1576705414517,0.26671252392547506
7.66,0.72,477,0.56,430,21.52,4.92,26.67,21.54345661508451,0.4456622052070609,20.95414887395131,0.3530025757910095
7.89,0.53,271,1.54,249,13.05,8.08,14.88,21.6199915662036,1.8919879963538795,21.03895155286702,2.371424154147818
7.62,0.42,221,1.16,399,27.72,5.8,29.75,15.231124828831103,2.3596769772687187,11.635757683067428,0.721903068090189
7.71,0.32,129,0.64,463,18.28,11.45,57.45,8.202812006063946,1.976639462875513,29.198865467866565,0.5980848293362202
7.27,0.41,207,0.34,441,14.97,3.2,14.36,8.446108833242594,1.643785250420034,5.279658725794166,1.4535556054503842
7.85,1.04,290,0.84,725,31.37,3.01,45.14,17.45034072499872,0.21291708465469428,15.566103293598667,2.1817420825605356
7.86,1.08,209,0.5,376,23.88,6.76,19.49,21.540935212866593,2.9276721183515444,21.451406035654916,0.23097239127800664
8.09,1.08,295,0.44,461,27.44,8.08,82.07,21.301365539936302,2.4302325815479033,21.644525043997987,1.651989858201586
7.3,0.48,238,0.42,359,35.64,9.24,43.6,18.73902554599721,0.9479685675338267,20.146457374588714,0.38902082223998247
7.85,0.56,201,0.6,616,32.27,6.19,17.44,15.444556343087477,2.9613130650214323,8.613652913527961,0.16063250027870693
7.98,1.1,263,0.28,288,28.36,7.28,67.71,2.110945163381667,1.8535130576344239,4.935220906729753,0.20557330796771997
7.3,1.05,350,1.39,408,25.46,4.35,61.56,3.962926266861269,1.7964983885472323,19.7541966956771,2.362292938655298
7.6,0.62,289,0.42,523,33.33,5.24,58.48,21.575445105797193,2.281854415728529,18.622442367547233,0.3856040548134499
7.85,0.49,232,1.69,462,32.44,4.71,34.88,14.593654525864197,2.468485479104103,5.650307157834654,0.18461776577792577
7.64,1.37,270,0.66,375,35.54,7.8,44.63,0.3198095336374486,2.013482319481303,21.891748206674702,1.2686036885144378
7.3,1.43,301,0.42,497,29.37,4.78,72.33,2.525169874498167,0.46532053685296604,14.170262824652646,2.3894219825599885
7.05,0.43,226,0.3,376,32.39,3.86,87.2,15.957692281682533,1.0811237925638804,20.737124674621395,0.7842471191104732
7.61,0.59,216,1.29,763,16.47,6.85,65.66,0.2209718539246266,2.8092850661553257,25.976269094099955,1.223926824371529
7.71,0.42,292,0.32,766,33.0,5.06,36.93,3.9433124288782175,0.7481237427024862,5.352911158741157,0.17018618987595335
8.19,0.62,113,0.6,224,10.92,5.29,31.29,13.214737565861407,1.1804493798439142,0.701384972422285,1.2994566990122574
7.96,0.43,290,0.36,586,11.22,5.2,66.17,16.63629522485537,1.3559852670264945,24.176478893765854,1.6542121025584888
7.35,1.24,336,0.38,405,27.39,3.27,24.11,15.681874102112152,1.377456619804745,18.943553462964307,1.6357034683559195
7.73,1.71,100,0.84,468,36.91,8.92,61.56,5.460036496107378,1.88591297670896,21.72186630562734,0.9774976704012477
7.43,3.81,205,1.39,764,17.67,4.24,36.93,17.121083390206106,2.853212204591993,26.000607177399168,0.9308715786302539
7.78,0.57,274,0.94,727,39.17,6.28,33.88,5.770253191173521,0.7952296456692395,24.90882977672882,0.35428118826501015
8.25,0.57,114,0.92,221,27.02,5.88,51.3,7.877052786006498,0.44599903256168993,29.792823338631393,1.0723633649837008
7.83,1.24,343,0.62,376,24.27,5.76,72.84,17.941144582320778,0.6685885352896164,16.66503458574193,0.3346052860893824
7.17,2.41,310,1.14,399,17.57,7.76,12.82,15.626226287228429,2.6886899576131595,15.199630092864476,2.1758048074052625
7.55,1.83,248,0.69,857,33.66,8.76,29.24,20.396439510810854,1.9822256810797538,12.524295604624651,2.726917061784993
7.94,0.36,240,1.31,291,29.42,4.89,25.65,15.816948125978206,0.9277068924707392,4.857516313457479,2.737405500400111
7.67,0.92,281,0.68,427,17.28,8.86,36.93,13.68257561971777,2.4807245311780486,17.79783742372567,2.447596234276087
7.62,0.96,259,0.58,414,25.01,8.2,64.63,2.33882695109141,2.6138140893448676,8.666916876429484,1.7181863321773487
7.71,0.81,340,0.56,367,18.93,6.98,53.86,8.88840769312046,2.5702870123625146,28.56918905225881,1.9943893243931086
7.55,1.67,226,1.24,157,18.81,9.57,48.22,6.438336587593238,2.7824547435638944,18.124763944119543,0.8471680153979428
